Year ended September,Kill status,Animal type,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
1982,Total Graded,Vealers - Beef,Number,,number,Number of animals,not available
1982,Total Graded,Heifers - Beef,Number,,number,Number of animals,not available
1982,Total Graded,Cows - Beef,Number,,number,Number of animals,not available
1982,Total Graded,Steers - Beef,Number,,number,Number of animals,not available
1982,Total Graded,Bulls - Beef,Number,,number,Number of animals,not available
1982,Total Graded,Total Adult Cattle - Beef,Number,,number,Number of animals,not available
1982,Total Graded,Calves,Number,1004155,number,Number of animals,
1982,Total Graded,Vealers,Number,39600,number,Number of animals,
1982,Total Graded,Calves and Vealers,Number,1043755,number,Number of animals,
1982,Total Graded,Heifers,Number,385750,number,Number of animals,
1982,Total Graded,Cows,Number,796259,number,Number of animals,
1982,Total Graded,Steers,Number,730279,number,Number of animals,
1982,Total Graded,Bulls,Number,254808,number,Number of animals,
1982,Total Graded,Total Adult Cattle,Number,2167096,number,Number of animals,
1982,Total Graded,Total All Cattle,Number,3210851,number,Number of animals,
1982,Total Graded,Total Goats,Number,34114,number,Number of animals,
1982,Total Graded,Total Horses,Number,,number,Number of animals,not available
1982,Total Graded,Pigs (under 50kg),Number,,number,Number of animals,not available
1982,Total Graded,Pigs (50-64.9kg),Number,,number,Number of animals,not available
1982,Total Graded,Pigs (65-74.9kg),Number,,number,Number of animals,not available
1982,Total Graded,Pigs (75-84.9kg),Number,,number,Number of animals,not available
1982,Total Graded,Pigs (85-94.9kg),Number,,number,Number of animals,not available
1982,Total Graded,Pigs (95kg and above),Number,,number,Number of animals,not available
1982,Total Graded,Choppers,Number,,number,Number of animals,not available
1982,Total Graded,Total pigs,Number,,number,Number of animals,not available
1982,Total Graded,Hoggets,Number,1024093,number,Number of animals,
1982,Total Graded,Rams,Number,53552,number,Number of animals,
1982,Total Graded,Other Adult Sheep,Number,7698173,number,Number of animals,
1982,Total Graded,Total Adult Sheep,Number,8775818,number,Number of animals,
1982,Total Graded,Lambs,Number,32073254,number,Number of animals,
1982,Total Graded,Total All Sheep,Number,40849072,number,Number of animals,
1982,Total Graded,"Total Sheep, Cattle, Goats, Horses, and Pigs",Number,44808417,number,Number of animals,
1982,Condemned,Vealers - Dairy,Weight,,number,Kilograms,not available
1982,Condemned,Heifers - Dairy,Weight,,number,Kilograms,not available
1982,Condemned,Cows - Dairy,Weight,,number,Kilograms,not available
1982,Condemned,Steers - Dairy,Weight,,number,Kilograms,not available
1982,Condemned,Bulls - Dairy,Weight,,number,Kilograms,not available
1982,Condemned,Total Adult Cattle - Dairy,Weight,,number,Kilograms,not available
1982,Condemned,Vealers - Beef,Weight,,number,Kilograms,not available
1982,Condemned,Heifers - Beef,Weight,,number,Kilograms,not available
1982,Condemned,Cows - Beef,Weight,,number,Kilograms,not available
1982,Condemned,Steers - Beef,Weight,,number,Kilograms,not available
1982,Condemned,Bulls - Beef,Weight,,number,Kilograms,not available
1982,Condemned,Total Adult Cattle - Beef,Weight,,number,Kilograms,not available
1982,Condemned,Calves,Weight,,number,Kilograms,not available
1982,Condemned,Vealers,Weight,,number,Kilograms,not available
1982,Condemned,Calves and Vealers,Weight,,number,Kilograms,not available
1982,Condemned,Heifers,Weight,,number,Kilograms,not available
1982,Condemned,Cows,Weight,,number,Kilograms,not available
1982,Condemned,Steers,Weight,,number,Kilograms,not available
1982,Condemned,Bulls,Weight,,number,Kilograms,not available
1982,Condemned,Total Adult Cattle,Weight,,number,Kilograms,not available
1982,Condemned,Total All Cattle,Weight,,number,Kilograms,not available
1982,Condemned,Total Goats,Weight,,number,Kilograms,not available
1982,Condemned,Total Horses,Weight,,number,Kilograms,not available
1982,Condemned,Pigs (under 50kg),Weight,,number,Kilograms,not available
1982,Condemned,Pigs (50-64.9kg),Weight,,number,Kilograms,not available
